oil_type,contrast_dB,thickness_proxy,area_growth_rate,weathering_indicator,VV_VH_ratio
Heavy Crude Oil,-11.25492877048315,0.7861735698828816,0.13238442690503463,0.9761514928204013,14.531693250553328
Heavy Crude Oil,-12.35120543542377,0.9579212815507392,0.13837173645764544,0.8765262807032524,16.08512008717193
Heavy Crude Oil,-12.695126539218693,0.7534270246429744,0.11209811357830171,0.8043359877671101,11.550164334973935
Heavy Crude Oil,-12.843431293861459,0.6987168879665576,0.1157123666297637,0.8545987962239394,12.175392597329417
Heavy Crude Oil,-9.80152684661767,0.7774223699513465,0.1033764102343962,0.8287625906893272,13.911234550949635
Heavy Crude Oil,-11.8336161154352,0.6849006422577698,0.11878490091728361,0.8699680655040598,14.416612500413446
Heavy Crude Oil,-12.902559918344096,0.9852278184508938,0.09932513876310331,0.847114453552205,16.645089824206377
Heavy Crude Oil,-13.831265474956533,0.8208863595004756,0.0020164938060112216,0.8335906975550785,15.393722471738247
Heavy Crude Oil,-10.892300130006884,0.8171368281189971,0.09421758588058798,0.8849448152205356,12.042956019265144
Heavy Crude Oil,-13.079766312592064,0.7539361229040213,0.15285611131094579,0.9171809144784231,11.473919689274531
Heavy Crude Oil,-11.513874045907807,0.7614917719583684,0.06615389998470207,0.9305838144420434,17.0619990449919
Heavy Crude Oil,-10.603079821325702,0.7160782476777362,0.08453938120743927,0.9165631715701782,16.95109025424472
Heavy Crude Oil,-12.718761356767935,0.7814341023336183,0.04468325129969859,0.8401896687959665,16.625051644788396
Heavy Crude Oil,-9.965639957143766,0.7927989878419667,0.15017664489460122,0.9180818012523817,13.709760490789751
Heavy Crude Oil,-11.457906591737379,0.9538036566465969,0.09820869804450243,0.9782321827907003,9.76050979182051
Heavy Crude Oil,-10.767146243437164,0.8087047068238172,0.08504963247670662,0.9045880388267752,11.024862170798215
Heavy Crude Oil,-12.329507831756269,0.8357112571511747,0.17389470223707582,0.8740864890863177,13.383012794213625
Heavy Crude Oil,-12.752635565376805,0.8915402117702075,0.11643755548298423,0.8735119898116481,16.02653486622671
Heavy Crude Oil,-11.854383675977939,0.896864499053289,0.06489734530613238,0.8836168926701116,14.215783693735684
Heavy Crude Oil,-14.195272422198178,0.8296120277064577,0.11305276360899447,0.900255672832123,14.530825733249705
Heavy Crude Oil,-14.123056113075622,0.7579354677234641,0.08286427417366153,0.8598861365389191,14.677428576667982
Heavy Crude Oil,-11.393923714778193,0.988618590121053,0.10872889064159195,0.9128775195361383,14.851108168467666
Heavy Crude Oil,-14.878156822948561,0.7973486124550784,0.10301151049705133,1.0,14.615278070437755
Heavy Crude Oil,-11.547678986499582,0.7965288230294757,0.0415660981190234,0.9571411407257511,16.503866065373547
Heavy Crude Oil,-10.813452079435429,0.7090612545205262,0.17013971554680496,0.829907446860386,16.17371418760054
Heavy Crude Oil,-8.714316561285033,0.7009463674869312,0.07168511351986141,0.9049825682543821,13.993048691767601
Heavy Crude Oil,-14.3259951465992,0.8068562974806027,0.04688481431369476,0.9236796215317591,13.161151531532393
Heavy Crude Oil,-9.67509839247369,0.7216746707663764,0.08389692418971623,0.9406758608684835,12.53827136713209
Heavy Crude Oil,-11.658810098093806,0.9307142754282428,0.019625838271938624,0.9092316929266152,15.519765588496847
Heavy Crude Oil,-10.827265692334034,0.6763049289121918,0.033977169345786186,0.9260970782808449,15.593969346466372
